orcasound_filename,date_time_pstpdt,date_pstpdt,time_pstpdt,date_time_utc,date_utc,time_utc,duration,notes,aws_bucket,latitude,longitude
cand_02y1wSdZd4yNIviSP6KnPv,2024-10-21_16.45.52,2024-10-21,16.45.52,2024-10-21_23.45.52,2024-10-21,23.45.52,,"Possibly clicks, definitely calls",1729407621.0,47.87315,-122.42455
cand_02y1yjTsIQdGRYKez6kSEp,2024-10-21_18.18.21,2024-10-21,18.18.21,2024-10-22_01.18.21,2024-10-22,01.18.21,,Sounds like clicks- echo location ?,1729407621.0,47.88407,-122.394465
cand_02y1z6intJAjLvmqtCXZsv,2024-10-21_18.25.03,2024-10-21,18.25.03,2024-10-22_01.25.03,2024-10-22,01.25.03,,"Repeated S01 calls, S01 call thru ferry noise",1729407621.0,47.88407,-122.394465
cand_02y1z1yqKE41Sp0UY33Wsg,2024-10-21_18.30.11,2024-10-21,18.30.11,2024-10-22_01.30.11,2024-10-22,01.30.11,,"S10 excitement call, S01 calls many through AM radio interference, 6:31 PM orca calls",1729407621.0,47.88407,-122.394465
cand_02y1zNeT4QvXx7KGp5od2O,2024-10-21_18.44.52,2024-10-21,18.44.52,2024-10-22_01.44.52,2024-10-22,01.44.52,,"S01s, Faint calls, S04s?",1729407621.0,47.88407,-122.394465
cand_02y1zv6leLPsRUpnQoAAto,2024-10-21_19.07.05,2024-10-21,19.07.05,2024-10-22_02.07.05,2024-10-22,02.07.05,,"Faint squeals of whales, S01 and a few S04 calls, Calls faintly. They sound distant",1729407621.0,47.88931,-122.39158
cand_02y208ApXqORSq04WTcu8T,2024-10-21_19.15.28,2024-10-21,19.15.28,2024-10-22_02.15.28,2024-10-22,02.15.28,,"Faint S04, Very faint calls",1729407621.0,47.88931,-122.39158
cand_02y20Ij8BN1jSUShwOQ08j,2024-10-21_19.22.22,2024-10-21,19.22.22,2024-10-22_02.22.22,2024-10-22,02.22.22,,"S01, Echolocation?, S07 faint",1729534520.0,47.88931,-122.39158
cand_02y2LW1ZYhdXWY02TGODUu,2024-10-22_09.46.07,2024-10-22,09.46.07,2024-10-22_16.46.07,2024-10-22,16.46.07,,"I think I heard a Echolocation At Sunset Bay, I am not sure though.",1729534520.0,47.6957125,-122.4593
cand_02y2R6bvpuaTrj9ayJIYkU,2024-10-22_13.33.46,2024-10-22,13.33.46,2024-10-22_20.33.46,2024-10-22,20.33.46,,,1729534520.0,47.82920333333334,-122.42260833333332
cand_02y2RRcx9Z4mk5OQ91wRe0,2024-10-22_13.47.38,2024-10-22,13.47.38,2024-10-22_20.47.38,2024-10-22,20.47.38,,Call,1729534520.0,47.84663166666667,-122.41473
cand_02y2RVMK8VbmrAAZQdyCIA,2024-10-22_13.50.57,2024-10-22,13.50.57,2024-10-22_20.50.57,2024-10-22,20.50.57,,,1729534520.0,47.84663166666667,-122.41473
cand_02y2RnXTcofPIQjKuQjvE3,2024-10-22_14.03.01,2024-10-22,14.03.01,2024-10-22_21.03.01,2024-10-22,21.03.01,,"call, S01 calls through radio interference",1729534520.0,47.85693833333334,-122.41563166666667
cand_02y2SGeUCJ2xWSg4iXmQvX,2024-10-22_14.22.04,2024-10-22,14.22.04,2024-10-22_21.22.04,2024-10-22,21.22.04,,Clear S01 call after long period with no SRKW signals.,1729534520.0,47.864301999999995,-122.413952
cand_02y2SZgox0K7QgZxboENvq,2024-10-22_14.34.39,2024-10-22,14.34.39,2024-10-22_21.34.39,2024-10-22,21.34.39,,"lots of calls, buzzing and calls, clear up and down sweeps, some rubbing on hydrophone also",1729534520.0,47.866321666666664,-122.41038166666665
cand_02y2SlLwCW3aRKRqPVBj7U,2024-10-22_14.42.18,2024-10-22,14.42.18,2024-10-22_21.42.18,2024-10-22,21.42.18,,"orca, distant call in radio noise",1729580422.0,47.86917857142857,-122.40623714285714
cand_02y2T5WYzp8gSV6GFR6eK5,2024-10-22_14.55.22,2024-10-22,14.55.22,2024-10-22_21.55.22,2024-10-22,21.55.22,,Eee ohh,1729580422.0,47.876287142857144,-122.39865999999998
cand_02y2UImx57yGJKGNgxwUpq,2024-10-22_15.43.23,2024-10-22,15.43.23,2024-10-22_22.43.23,2024-10-22,22.43.23,,"More calls now. Sounds like multiple orca., Faint calls., Possible echolocation. Lots of clicking.",1729580422.0,47.88110857142857,-122.39635428571428
